led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,7102,50,0.76,-0.60,0.90,-2.44,2.33,9.20,0.98462,0.12042,0.12659,0.00195,359.75,-14.38,-14.19,0.05,-0.03,-0.01
0,7152,50,0.91,-0.16,0.20,-2.44,2.33,9.20,0.98456,0.12079,0.12683,0.00183,359.75,-14.38,-14.19,0.00,-0.07,0.01
0,7202,50,0.39,-0.64,0.29,-2.45,2.33,9.20,0.98456,0.12048,0.12714,0.00195,359.75,-14.44,-14.19,0.05,-0.02,0.00
0,7252,50,0.62,0.04,-0.12,-2.44,2.32,9.20,0.98462,0.11993,0.12708,0.00208,359.75,-14.44,-14.13,0.02,0.03,-0.00
0,7302,50,1.19,-0.38,-0.91,-2.45,2.31,9.20,0.98462,0.11957,0.12732,0.00220,359.75,-14.44,-14.13,0.05,0.00,0.01
0,7352,50,1.08,-0.24,0.03,-2.45,2.31,9.20,0.98462,0.11938,0.12762,0.00226,359.69,-14.50,-14.06,-0.01,0.05,0.00
0,7402,50,0.90,-0.44,0.34,-2.45,2.31,9.20,0.98462,0.11938,0.12762,0.00232,359.69,-14.50,-14.06,-0.04,0.02,-0.00
0,7452,50,1.44,-1.06,0.55,-2.45,2.31,9.20,0.98462,0.11938,0.12762,0.00232,359.69,-14.50,-14.06,0.06,-0.02,0.00
0,7502,50,1.16,0.20,-0.08,-2.46,2.31,9.20,0.98456,0.11938,0.12793,0.00238,359.69,-14.56,-14.06,-0.05,0.03,-0.00
0,7552,50,0.41,-0.72,0.26,-2.46,2.30,9.20,0.98462,0.11902,0.12781,0.00238,359.69,-14.50,-14.06,0.02,-0.02,0.00
0,7602,50,1.48,-0.46,-0.48,-2.46,2.29,9.21,0.98468,0.11865,0.12781,0.00250,359.69,-14.50,-14.00,0.02,-0.03,0.01
0,7652,50,0.70,-0.88,0.53,-2.47,2.29,9.20,0.98468,0.11823,0.12823,0.00269,359.69,-14.56,-13.94,0.00,-0.05,0.02
0,7702,50,0.47,0.27,-0.39,-2.47,2.29,9.20,0.98462,0.11829,0.12860,0.00275,359.63,-14.56,-13.94,-0.05,-0.03,0.01
0,7752,50,0.99,-1.18,-0.10,-2.47,2.28,9.20,0.98462,0.11810,0.12860,0.00287,359.63,-14.56,-13.94,0.03,-0.04,0.02
0,7802,50,0.09,-0.70,-1.52,-2.47,2.28,9.20,0.98468,0.11780,0.12872,0.00299,359.63,-14.63,-13.88,-0.01,-0.03,0.01
0,7852,50,-0.12,-1.02,-0.74,-2.47,2.27,9.21,0.98474,0.11755,0.12848,0.00299,359.63,-14.56,-13.88,0.00,0.01,0.01
0,7902,50,0.77,-0.04,0.05,-2.46,2.26,9.21,0.98480,0.11707,0.12817,0.00311,359.63,-14.50,-13.81,-0.02,-0.07,0.01
0,7952,50,0.91,-0.29,-0.54,-2.47,2.26,9.21,0.98480,0.11676,0.12854,0.00317,359.63,-14.56,-13.81,0.03,0.03,-0.00
0,8002,50,0.44,0.26,-1.64,-2.48,2.26,9.21,0.98474,0.11670,0.12915,0.00336,359.56,-14.63,-13.75,-0.05,-0.02,0.01
0,8052,50,1.14,-1.44,0.11,-2.48,2.25,9.21,0.98480,0.11633,0.12909,0.00348,359.56,-14.63,-13.75,0.09,-0.03,0.01
0,8102,50,-0.09,0.79,-2.96,-2.48,2.26,9.21,0.98468,0.11700,0.12915,0.00354,359.56,-14.63,-13.75,0.05,0.02,-0.01
